"","fipscode","state","county","county_ranked","freq_mental_distress","unemployment","food_insecurity","suicides","alcohol_impaired_driving_deaths","mental_distress_level","unemployment_level"
"92","36107","NY","Tioga County",1,15.3,7.82223828,10.5,11.763095783,12.5,"high","high"
"93","36109","NY","Tompkins County",1,13.3,6.17997455,11.6,13.504730741,26.47058824,"high","normal"
"94","36111","NY","Ulster County",1,14.1,8.00710092,11,13.347355504,19.31818182,"high","high"
"95","36113","NY","Warren County",1,14.3,8.3913142,11,11.719419951,22.22222222,"high","high"
"96","36115","NY","Washington County",1,15.4,7.15698484,11.1,11.781379053,17.24137931,"high","high"
"97","36117","NY","Wayne County",1,15.3,7.39032175,10.7,12.408919135,21.42857143,"high","high"
"98","36119","NY","Westchester County",1,11.6,8.40804337,7.5,7.1384433828,23.31288344,"low","high"
"99","36121","NY","Wyoming County",1,15,7.50857079,10.3,15.581146036,31.57894737,"high","high"
"100","36123","NY","Yates County",1,15.6,6.51307812,10,12.087383035,30,"high","normal"
"101","39001","OH","Adams County",1,20.5,9.22502504,19,21.136233822,40.74074074,"high","high"
"102","39003","OH","Allen County",1,17.4,8.53363145,13.3,15.354345776,37.5,"high","high"
"103","39005","OH","Ashland County",1,17.9,6.45100408,13.6,11.994174108,35.8974359,"high","normal"
"104","39007","OH","Ashtabula County",1,19.6,8.32058803,16.3,19.658256046,32.53012048,"high","high"
"105","39009","OH","Athens County",1,19.3,7.32532069,18.9,13.690394418,20.51282051,"high","high"
"106","39011","OH","Auglaize County",1,16.5,6.88719734,10.3,11.588167542,4.16666667,"high","normal"
"107","39013","OH","Belmont County",1,17.9,10.10108003,13.9,17.154552811,33.33333333,"high","high"
"108","39015","OH","Brown County",1,18.7,8.24960066,15.1,19.677921145,18.18181818,"high","high"
"109","39017","OH","Butler County",1,16.4,7.23836415,11.8,13.196072741,30.23255814,"high","high"
"110","39019","OH","Carroll County",1,18.1,8.81782194,13.3,16.734312297,42.85714286,"high","high"
"111","39021","OH","Champaign County",1,17.7,7.10677669,12.3,18.062783388,27.27272727,"high","high"
"112","39023","OH","Clark County",1,18.8,8.12773056,14.5,20.183623125,27.27272727,"high","high"
"113","39025","OH","Clermont County",1,16.7,6.85636831,11.5,15.864597038,32.14285714,"high","normal"
"114","39027","OH","Clinton County",1,18.5,8.31927101,15.4,15.267979442,20.58823529,"high","high"
"115","39029","OH","Columbiana County",1,18.4,9.39636978,14.5,17.474598897,48.38709677,"high","high"
"116","39031","OH","Coshocton County",1,19.3,8.89800538,14.8,18.267495485,50,"high","high"
"117","39033","OH","Crawford County",1,18.9,9.3539416,15.1,15.340670174,29.41176471,"high","high"
"118","39035","OH","Cuyahoga County",1,16.7,10.40614617,13.9,13.418729428,40.50343249,"high","high"
"119","39037","OH","Darke County",1,18,6.74640037,12.3,13.713189399,35.13513514,"high","normal"
"120","39039","OH","Defiance County",1,16.5,8.21420594,11,13.271257495,33.33333333,"high","high"
"121","39041","OH","Delaware County",1,13,5.34970185,7.6,10.902412601,25.92592593,"low","normal"
"122","39043","OH","Erie County",1,16.6,10.46498906,13,15.253981074,27.65957447,"high","high"
"123","39045","OH","Fairfield County",1,16.5,6.61289502,11,12.488147805,42.46575342,"high","normal"
"124","39047","OH","Fayette County",1,19.1,7.35933823,15.7,8.3730245665,28.57142857,"high","high"
"125","39049","OH","Franklin County",1,15.2,7.44778763,12.8,11.637214644,32.34126984,"high","high"
"126","39051","OH","Fulton County",1,16.6,7.91232777,10.4,17.279305838,20.93023256,"high","high"
"127","39053","OH","Gallia County",1,19.1,7.9810287,17.6,26.401852678,42.85714286,"high","high"
"128","39055","OH","Geauga County",1,15.4,6.73228431,8.7,13.932297943,26.2295082,"high","normal"
"129","39057","OH","Greene County",1,15.5,6.41698935,12,12.216277053,35.13513514,"high","normal"
"130","39059","OH","Guernsey County",1,19.3,8.67949279,17,14.651808673,35.48387097,"high","high"
"131","39061","OH","Hamilton County",1,16.2,7.7683677,12.8,13.082984949,39.4265233,"high","high"
"132","39063","OH","Hancock County",1,16,6.84161424,11.5,14.841927733,13.79310345,"high","normal"
"133","39065","OH","Hardin County",1,18.7,8.08238636,14,17.056552568,26.92307692,"high","high"
"134","39067","OH","Harrison County",1,19.1,9.19455138,15.4,19.510921485,24.13793103,"high","high"
"135","39069","OH","Henry County",1,16.4,8.13411747,11.1,11.68815683,27.77777778,"high","high"
"136","39071","OH","Highland County",1,19.9,8.66087751,17.1,17.665211762,33.33333333,"high","high"
"137","39073","OH","Hocking County",1,18.6,7.39912044,14.6,17.995030972,17.39130435,"high","high"
"138","39075","OH","Holmes County",1,20.2,3.88044048,10.4,6.1430747065,4.34782609,"high","low"
"139","39077","OH","Huron County",1,18.3,9.47980217,14,17.78378676,32.55813953,"high","high"
"140","39079","OH","Jackson County",1,20.2,8.73299384,17.8,24.206701771,32.35294118,"high","high"
"141","39081","OH","Jefferson County",1,19,10.09237707,16.4,19.087876696,33.33333333,"high","high"
"142","39083","OH","Knox County",1,17.3,6.17398541,13.2,14.7230402,45,"high","normal"
"143","39085","OH","Lake County",1,16.1,8.38545286,10.8,14.310956703,58.18181818,"high","high"
"144","39087","OH","Lawrence County",1,20.1,8.486729,17.6,12.317499279,12.5,"high","high"
"145","39089","OH","Licking County",1,16.7,6.54441602,12.4,16.136496352,31.03448276,"high","normal"
"146","39091","OH","Logan County",1,17.6,8.29715388,12.2,20.584683072,30.95238095,"high","high"
"147","39093","OH","Lorain County",1,16.5,9.88051871,12.4,16.091246336,41.08527132,"high","high"
"148","39095","OH","Lucas County",1,17.9,10.35563305,15.1,15.69855921,37.56097561,"high","high"
"149","39097","OH","Madison County",1,16.9,5.93261016,11.6,15.454727318,22.22222222,"high","normal"
